country,month,trends,twitter,news,overall
SK,2017-11,2.04545454545,,0.833199807723,1.43932717659
IL,2018-2,2.45454545455,4.1144771337,0.0925112169851,2.22051126841
PL,2017-12,3.5,0.709213204874,1.99317231555,2.06746184014
GB,2018-1,10.7727272727,6.41758697232,3.01051529709,6.73360984738
ES,2018-2,10.9090909091,11.4599064972,5.03922402133,9.13607380919
SC,2017-11,,0.82023239918,35.8208955224,18.3205639608
ST,2017-11,,,,
KZ,2017-11,7.77272727273,0.147145379635,1.89758143081,3.27248469439
WS,2017-11,,5.55555555556,4.87469962238,5.21512758897
TM,2017-11,,,,
RO,2017-11,5.27272727273,0.553594906927,0.775506024508,2.20060940139
BB,2018-1,,6.09432962374,65.3846153846,35.7394725042
UG,2017-11,5.45454545455,1.07451781013,11.0354223433,5.854828536
BF,2018-2,2.72727272727,,,
RW,2017-11,,3.17863954228,,
CI,2017-11,5.22727272727,1.64406083025,10.3986135182,5.75664902524
IL,2018-1,3.68181818182,4.540668597,0.0395716945996,2.75401949114
GU,2017-12,,,,
BI,2017-11,,,10.0,
AD,2017-11,4.54545454545,,0.593471810089,2.56946317777
BG,2017-11,1.86363636364,1.27659574468,1.42761893556,1.52261701463
KE,2017-11,8.45454545455,1.65362587723,5.7171265225,5.27509928476
CR,2017-11,12.4090909091,0.810898475511,3.95688764211,5.72562567557
XK,2017-12,,0.678952473327,,
BB,2017-12,,1.04770813845,37.1428571429,19.0952826407
TT,2018-2,2.0,8.76512565932,1.93986420951,4.23499662294
BA,2017-11,0.272727272727,0.334728033473,0.0339083626499,0.213787889617
WF,2017-11,,,,
PA,2017-12,10.5454545455,2.27060071112,6.71419518378,6.51008348012
RO,2018-1,3.09090909091,2.25874034307,0.527523964767,1.95905779958
DM,2017-11,,,,
KN,2018-2,,,,
SG,2018-1,8.54545454545,5.77460770328,2.19100776046,5.50369000307
TF,2017-12,,,,
NU,2017-11,,,2.92747837658,
BE,2017-11,5.86363636364,2.34296552494,2.8176505309,3.67475080649
MN,2017-11,0.363636363636,0.496154800298,0.708143651998,0.522644938644
JP,2018-1,7.95454545455,4.83433818242,0.188267219683,4.32571695222
GT,2018-2,19.9545454545,6.26559467702,7.39495798319,11.2050327049
CZ,2017-11,5.90909090909,0.598892049708,1.80200523891,2.7699960659
SN,2017-12,2.0,1.51630022745,7.49279538905,3.66969853883
TR,2017-12,2.04545454545,0.370201381256,1.25438143306,1.22334578659
AU,2017-11,15.8181818182,2.24029392656,5.79198780005,7.95015451493
NF,2017-11,,,,
BB,2017-11,,1.06138333628,,
SG,2017-12,6.90909090909,1.26706865928,2.69907085137,3.62507680658
CV,2017-11,,,7.26392251816,
PT,2017-12,7.81818181818,0.472225345406,6.09593113547,4.79544609968
LB,2017-11,6.31818181818,0.455640174445,1.36872666943,2.71418288735
GE,2018-2,0.909090909091,2.84062342886,0.541271989175,1.43032877571
CU,2018-2,2.31818181818,1.58574235195,14.7239263804,6.20928351683
GD,2017-12,,2.25674091442,,
PS,2017-11,,0.329652216911,0.645031243701,0.487341730306
CD,2017-11,0.136363636364,,4.7197640118,2.42806382408
KN,2018-1,,,,
BZ,2018-1,,8.6437280775,0.12236084453,4.38304446102
BY,2017-11,3.40909090909,0.565291124929,1.95568172857,1.97668792086
SS,2017-12,,,,
AZ,2017-11,1.68181818182,0.587457776472,4.92977397451,2.39968331093
BQ,2018-1,,,,
EG,2017-12,2.27272727273,0.161554966553,1.70563703669,1.37997309199
NZ,2018-1,8.63636363636,14.3872500136,11.4089894047,11.4775343515
KP,2017-11,,,,
